iter	MultiClass
0	1.067622271
1	1.040397196
2	1.015671573
3	0.9943569514
4	0.9737826951
5	0.9555286346
6	0.939050312
7	0.9245531786
8	0.9106382654
9	0.8983205208
10	0.8868527134
11	0.8765173499
12	0.8665924688
13	0.8574111632
14	0.8492533657
15	0.8414888158
16	0.8340567126
17	0.8270004043
18	0.8208049708
19	0.814493123
20	0.8087836238
21	0.8036557668
22	0.7988775821
23	0.7942404671
24	0.7894665295
25	0.7854438012
26	0.7814162003
27	0.777808194
28	0.774569228
29	0.7711065633
30	0.7680432601
31	0.765173502
32	0.7627143184
33	0.7597558259
34	0.7569607361
35	0.7542365801
36	0.7517964779
37	0.749145766
38	0.7467518471
39	0.7447314622
40	0.7427853967
41	0.7409551995
42	0.7391356593
43	0.7374691793
44	0.7360716632
45	0.7347317405
46	0.7328858699
47	0.7316803741
48	0.729894136
49	0.7283250576
50	0.727020027
51	0.7254006894
52	0.724151036
53	0.7228870224
54	0.7214566377
55	0.7201558422
56	0.7188079393
57	0.717628899
58	0.7164783942
59	0.7153850945
60	0.7142423693
61	0.7130374503
62	0.7119339202
63	0.710963079
64	0.7098629665
65	0.7090833372
66	0.7082414974
67	0.7072730732
68	0.7064383787
69	0.7055290247
70	0.704643763
71	0.7038112774
72	0.7027259873
73	0.7018558372
74	0.7010129303
75	0.700101714
76	0.6994946383
77	0.6986622807
78	0.6978312971
79	0.6970935791
80	0.6963452167
81	0.6955863846
82	0.6950680728
83	0.6944977637
84	0.6938924318
85	0.6930579486
86	0.6924264314
87	0.6918640838
88	0.6912847141
89	0.6906189566
90	0.6899278856
91	0.6892761269
92	0.6886511165
93	0.6881363244
94	0.6874376951
95	0.6869442264
96	0.686402835
97	0.6859476362
98	0.6854439491
99	0.6850177213
100	0.6846092595
101	0.6840846146
102	0.6836969146
103	0.6832049097
104	0.6825545795
105	0.6820657019
106	0.6817301553
107	0.6811419787
108	0.6806299022
109	0.6802068125
110	0.6796429714
111	0.6790540694
112	0.6787016978
113	0.6781779726
114	0.6778286756
115	0.6773926875
116	0.6769317378
117	0.6764222981
118	0.6758358636
119	0.6755279745
120	0.6751502644
121	0.6747368912
122	0.6744282844
123	0.6739926694
124	0.6736613678
125	0.6733102556
126	0.6729677399
127	0.6724921569
128	0.6719152742
129	0.6714077935
130	0.6710254149
131	0.6705856021
132	0.6702445169
133	0.6698517451
134	0.6694369817
135	0.6691501695
136	0.6689072234
137	0.6685711911
138	0.6681156822
139	0.6678050435
140	0.6674616568
141	0.6670258506
142	0.6667253592
143	0.6663294721
144	0.6659817454
145	0.6656563947
146	0.665357945
147	0.6650235711
148	0.6646915102
149	0.6644830414
150	0.6641868092
151	0.6639311789
152	0.6636404546
153	0.663411395
154	0.6631391724
155	0.6630025141
156	0.6626191324
157	0.6623161286
158	0.6620193997
159	0.6617190073
160	0.6613880585
161	0.661260025
162	0.6609873088
163	0.6607200335
164	0.6604754169
165	0.6602087338
166	0.6600083047
167	0.6598590869
168	0.6595433284
169	0.659115361
170	0.6589244115
171	0.6586699803
172	0.6584295328
173	0.6582229957
174	0.6579651156
175	0.6577273903
176	0.6573340733
177	0.6570627263
178	0.6568044071
179	0.6566109841
180	0.6563163679
181	0.6560947377
182	0.655926591
183	0.6557410423
184	0.6555306951
185	0.6553376107
186	0.6550804645
187	0.6548067497
188	0.6545992273
189	0.6543713147
190	0.6541790566
191	0.6540002304
192	0.6537722511
193	0.6535838822
194	0.6534062008
195	0.6532293626
196	0.6529990396
197	0.6527484197
198	0.6525275742
199	0.6522618185
200	0.6521279481
201	0.6519385964
202	0.65182242
203	0.6515920648
204	0.6514243334
205	0.6511430556
206	0.6509449302
207	0.6507063953
208	0.6505868738
209	0.6503651775
210	0.6501757903
211	0.6499075592
212	0.6497508034
213	0.649552668
214	0.649410883
215	0.6491571254
216	0.6489560363
217	0.6488054516
218	0.6486913735
219	0.6484970393
220	0.6483550309
221	0.6482071386
222	0.6480380151
223	0.6479421546
224	0.6477749432
225	0.6476239531
226	0.6474026974
227	0.6472476385
228	0.6470348398
229	0.6468711664
230	0.6467457287
231	0.6465692512
232	0.6463470296
233	0.6462011113
234	0.6460166007
235	0.6458715316
236	0.6457251189
237	0.6456157167
238	0.6455091871
239	0.6453409084
240	0.6450841064
241	0.6449555284
242	0.6448308523
243	0.6446731606
244	0.6445257298
245	0.6443093307
246	0.6441627738
247	0.6439556547
248	0.6437989457
249	0.6435863913
250	0.6434482003
251	0.6432960479
252	0.6431572924
253	0.6430274708
254	0.6429002153
255	0.6427208401
256	0.6425331771
257	0.6424277087
258	0.6422881867
259	0.6421563893
260	0.6420683908
261	0.6419436319
262	0.6417687126
263	0.6415890518
264	0.6414613943
265	0.641305515
266	0.6411676899
267	0.6410684288
268	0.6409502052
269	0.640794645
270	0.6407363747
271	0.6405407214
272	0.6403982799
273	0.6402915091
274	0.6401857043
275	0.6399839632
276	0.6398231224
277	0.6397372466
278	0.6395720543
279	0.63945128
280	0.6394010471
281	0.6393015169
282	0.6391839787
283	0.6391120432
284	0.6389591507
285	0.6388419245
286	0.6387587608
287	0.638708209
288	0.6385835346
289	0.6385137767
290	0.6384179066
291	0.6382800823
292	0.6381775165
293	0.6380307866
294	0.6379074856
295	0.6378145221
296	0.6377263672
297	0.637619918
298	0.6374514955
299	0.6373192428
