iter	Passed	Remaining
0	12	3689
1	18	2801
2	25	2556
3	33	2461
4	40	2363
5	47	2316
6	53	2251
7	60	2209
8	68	2202
9	76	2219
10	84	2227
11	92	2214
12	99	2191
13	107	2204
14	116	2205
15	122	2179
16	134	2238
17	142	2229
18	149	2205
19	155	2178
20	163	2174
21	171	2161
22	178	2153
23	186	2143
24	194	2139
25	202	2137
26	210	2129
27	218	2124
28	226	2113
29	233	2099
30	240	2087
31	247	2075
32	254	2062
33	261	2049
34	269	2038
35	276	2029
36	284	2023
37	291	2013
38	298	1998
39	306	1989
40	312	1973
41	318	1959
42	327	1954
43	334	1946
44	344	1949
45	352	1946
46	360	1940
47	369	1942
48	378	1939
49	387	1937
50	395	1928
51	406	1936
52	415	1938
53	426	1941
54	437	1947
55	447	1950
56	468	1995
57	479	2002
58	490	2001
59	500	2000
60	511	2002
61	523	2008
62	531	1998
63	539	1988
64	547	1979
65	555	1970
66	564	1964
67	573	1956
68	581	1947
69	590	1940
70	598	1930
71	607	1922
72	615	1915
73	622	1902
74	629	1889
75	636	1877
76	643	1863
77	650	1850
78	657	1838
79	664	1827
80	671	1814
81	679	1805
82	686	1794
83	694	1784
84	702	1776
85	710	1767
86	718	1758
87	725	1748
88	733	1737
89	742	1731
90	751	1725
91	759	1716
92	766	1707
93	773	1695
94	781	1686
95	789	1677
96	796	1666
97	803	1656
98	810	1646
99	817	1635
100	825	1625
101	833	1617
102	840	1607
103	847	1597
104	853	1585
105	861	1576
106	868	1566
107	878	1560
108	889	1558
109	901	1556
110	909	1548
111	917	1540
112	925	1531
113	934	1523
114	943	1517
115	952	1511
116	961	1503
117	970	1496
118	979	1489
119	989	1483
120	997	1475
121	1007	1469
122	1015	1461
123	1023	1453
124	1031	1444
125	1039	1435
126	1047	1427
127	1056	1419
128	1066	1413
129	1075	1406
130	1084	1399
131	1096	1395
132	1106	1389
133	1116	1382
134	1127	1378
135	1139	1374
136	1150	1368
137	1161	1363
138	1171	1357
139	1181	1350
140	1190	1342
141	1201	1336
142	1211	1330
143	1221	1323
144	1230	1315
145	1240	1308
146	1248	1299
147	1257	1291
148	1265	1282
149	1275	1275
150	1283	1266
151	1292	1258
152	1301	1250
153	1310	1242
154	1318	1233
155	1325	1223
156	1332	1213
157	1339	1204
158	1346	1194
159	1354	1185
160	1361	1175
161	1369	1166
162	1376	1157
163	1385	1149
164	1393	1140
165	1400	1130
166	1408	1121
167	1414	1111
168	1421	1101
169	1428	1092
170	1435	1082
171	1442	1073
172	1449	1064
173	1457	1055
174	1464	1045
175	1472	1037
176	1480	1028
177	1488	1020
178	1495	1010
179	1502	1001
180	1509	992
181	1518	984
182	1525	975
183	1532	965
184	1538	956
185	1546	948
186	1555	940
187	1564	931
188	1571	922
189	1579	914
190	1587	906
191	1597	898
192	1607	891
193	1616	883
194	1623	874
195	1631	865
196	1637	856
197	1644	847
198	1652	838
199	1660	830
200	1667	821
201	1674	812
202	1681	803
203	1688	794
204	1695	785
205	1703	777
206	1711	768
207	1718	760
208	1725	751
209	1732	742
210	1740	733
211	1747	725
212	1754	716
213	1762	708
214	1769	699
215	1776	691
216	1785	682
217	1794	674
218	1802	666
219	1812	659
220	1821	651
221	1830	643
222	1839	635
223	1848	627
224	1857	619
225	1868	611
226	1877	603
227	1886	595
228	1895	587
229	1904	579
230	1914	571
231	1924	563
232	1933	555
233	1941	547
234	1950	539
235	1957	530
236	1965	522
237	1973	514
238	1982	505
239	1989	497
240	1996	488
241	2004	480
242	2011	471
243	2020	463
244	2028	455
245	2036	447
246	2043	438
247	2051	430
248	2059	421
249	2067	413
250	2075	405
251	2085	397
252	2092	388
253	2101	380
254	2108	372
255	2117	363
256	2126	355
257	2134	347
258	2141	339
259	2148	330
260	2155	322
261	2162	313
262	2171	305
263	2179	297
264	2187	288
265	2196	280
266	2203	272
267	2210	263
268	2220	255
269	2227	247
270	2235	239
271	2244	231
272	2252	222
273	2260	214
274	2267	206
275	2274	197
276	2283	189
277	2291	181
278	2299	173
279	2307	164
280	2315	156
281	2323	148
282	2332	140
283	2341	131
284	2350	123
285	2359	115
286	2368	107
287	2376	99
288	2385	90
289	2394	82
290	2402	74
291	2411	66
292	2418	57
293	2427	49
294	2436	41
295	2445	33
296	2454	24
297	2463	16
298	2471	8
299	2479	0
