ID,age,gender,tenure,frequent,payment_interval,subscription_type,contract_length,after_interaction,support_needs
TRAIN_00000,54.0,F,47.0,22.0,8.0,member,90,25.0,0
TRAIN_00001,30.0,M,16.0,15.0,5.0,vip,360,23.0,0
TRAIN_00002,29.0,M,8.0,30.0,21.0,plus,30,21.0,0
TRAIN_00003,38.0,F,38.0,23.0,10.0,vip,90,6.0,0
TRAIN_00004,25.0,F,52.0,3.0,17.0,member,30,1.0,2
TRAIN_00005,53.0,F,50.0,8.0,4.0,plus,30,11.0,0
TRAIN_00006,55.0,F,47.0,1.0,19.0,vip,90,5.0,0
TRAIN_00007,29.0,F,13.0,1.0,27.0,vip,360,8.0,0
TRAIN_00008,40.0,M,32.0,7.0,0.0,member,90,15.0,1
TRAIN_00009,42.0,M,10.0,29.0,1.0,member,360,8.0,0
TRAIN_00010,35.0,F,1.0,22.0,15.0,vip,90,13.0,1
TRAIN_00011,23.0,M,11.0,27.0,11.0,plus,90,1.0,0
TRAIN_00012,36.0,M,12.0,23.0,3.0,member,360,13.0,0
TRAIN_00013,31.0,F,39.0,3.0,0.0,vip,90,15.0,0
TRAIN_00014,31.0,M,28.0,26.0,1.0,member,30,23.0,1
TRAIN_00015,25.0,F,40.0,4.0,5.0,member,30,17.0,1
TRAIN_00016,64.0,F,59.0,28.0,6.0,vip,30,30.0,0
TRAIN_00017,21.0,F,48.0,6.0,28.0,plus,30,14.0,2
TRAIN_00018,35.0,M,37.0,16.0,3.0,vip,360,8.0,1
TRAIN_00019,35.0,M,15.0,11.0,5.0,member,360,12.0,1
TRAIN_00020,30.0,M,11.0,29.0,6.0,plus,90,15.0,0
TRAIN_00021,37.0,M,47.0,2.0,22.0,plus,90,1.0,1
TRAIN_00022,41.0,F,19.0,28.0,11.0,vip,360,13.0,1
TRAIN_00023,32.0,F,7.0,8.0,10.0,plus,360,13.0,0
TRAIN_00024,42.0,M,49.0,5.0,9.0,plus,360,8.0,0
TRAIN_00025,31.0,F,5.0,9.0,1.0,vip,90,15.0,0
TRAIN_00026,37.0,M,39.0,4.0,5.0,member,360,25.0,0
TRAIN_00027,43.0,F,47.0,19.0,21.0,vip,30,23.0,2
TRAIN_00028,20.0,F,38.0,3.0,3.0,vip,360,6.0,1
TRAIN_00029,27.0,F,60.0,17.0,28.0,plus,360,25.0,2
TRAIN_00030,30.0,M,58.0,7.0,27.0,member,360,23.0,1
TRAIN_00031,18.0,M,55.0,3.0,7.0,member,360,27.0,0
TRAIN_00032,39.0,M,10.0,24.0,4.0,vip,90,13.0,0
TRAIN_00033,33.0,F,4.0,10.0,20.0,vip,360,10.0,0
TRAIN_00034,40.0,F,46.0,12.0,17.0,vip,90,3.0,1
TRAIN_00035,63.0,M,11.0,28.0,16.0,plus,90,22.0,2
TRAIN_00036,59.0,M,39.0,24.0,16.0,plus,90,2.0,2
TRAIN_00037,50.0,M,15.0,26.0,17.0,member,90,11.0,0
TRAIN_00038,24.0,F,35.0,5.0,26.0,plus,30,6.0,0
TRAIN_00039,30.0,M,30.0,17.0,10.0,member,90,2.0,2
TRAIN_00040,39.0,F,58.0,7.0,28.0,vip,90,27.0,2
TRAIN_00041,45.0,F,11.0,30.0,7.0,member,90,6.0,1
TRAIN_00042,39.0,F,18.0,15.0,13.0,vip,90,7.0,0
TRAIN_00043,52.0,F,21.0,8.0,12.0,vip,360,7.0,2
TRAIN_00044,56.0,F,16.0,23.0,24.0,member,90,10.0,0
TRAIN_00045,45.0,M,51.0,8.0,14.0,member,360,4.0,0
TRAIN_00046,41.0,M,29.0,20.0,26.0,plus,90,27.0,2
TRAIN_00047,64.0,F,22.0,29.0,21.0,vip,360,25.0,2
TRAIN_00048,34.0,M,45.0,1.0,7.0,member,90,15.0,2
TRAIN_00049,38.0,M,57.0,18.0,3.0,member,90,24.0,0
TRAIN_00050,45.0,F,7.0,19.0,0.0,member,360,10.0,0
TRAIN_00051,19.0,F,17.0,17.0,3.0,vip,90,26.0,2
TRAIN_00052,30.0,F,59.0,1.0,7.0,plus,360,6.0,0
TRAIN_00053,38.0,F,59.0,29.0,18.0,plus,30,20.0,0
TRAIN_00054,32.0,M,60.0,12.0,14.0,plus,360,22.0,0
TRAIN_00055,47.0,M,28.0,4.0,0.0,member,90,23.0,0
TRAIN_00056,43.0,F,18.0,12.0,4.0,vip,360,9.0,1
TRAIN_00057,20.0,F,35.0,14.0,8.0,plus,90,1.0,2
TRAIN_00058,62.0,M,27.0,9.0,25.0,vip,30,11.0,2
TRAIN_00059,49.0,M,16.0,7.0,7.0,vip,360,4.0,1
TRAIN_00060,39.0,F,34.0,29.0,15.0,vip,30,27.0,0
TRAIN_00061,22.0,M,55.0,18.0,22.0,member,30,14.0,2
TRAIN_00062,25.0,M,1.0,24.0,1.0,plus,360,5.0,2
TRAIN_00063,21.0,M,21.0,18.0,1.0,member,90,4.0,0
TRAIN_00064,19.0,M,23.0,3.0,14.0,plus,90,12.0,2
TRAIN_00065,44.0,F,35.0,21.0,16.0,plus,90,3.0,2
TRAIN_00066,21.0,F,47.0,10.0,30.0,vip,30,13.0,1
TRAIN_00067,37.0,M,38.0,11.0,19.0,vip,90,1.0,1
TRAIN_00068,25.0,M,28.0,6.0,16.0,member,360,19.0,1
TRAIN_00069,44.0,M,42.0,26.0,3.0,vip,90,3.0,2
TRAIN_00070,53.0,F,47.0,25.0,28.0,member,30,16.0,0
TRAIN_00071,41.0,F,60.0,26.0,20.0,plus,360,16.0,1
TRAIN_00072,22.0,M,19.0,13.0,22.0,plus,360,20.0,0
TRAIN_00073,61.0,M,32.0,5.0,12.0,vip,90,21.0,0
TRAIN_00074,47.0,M,22.0,22.0,0.0,vip,90,27.0,0
TRAIN_00075,31.0,M,10.0,28.0,6.0,plus,90,9.0,1
TRAIN_00076,48.0,M,34.0,6.0,18.0,vip,90,2.0,1
TRAIN_00077,59.0,F,31.0,10.0,12.0,vip,30,21.0,2
TRAIN_00078,56.0,M,16.0,13.0,25.0,member,30,28.0,1
TRAIN_00079,33.0,M,8.0,30.0,16.0,vip,90,20.0,2
